# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 16:15:36 EST 2017, 230, 0.200, 1, 0.330, 576, 84, 12, 33, 96, 98.713, 100.123
Mon Jan  9 16:15:41 EST 2017, 5180, 0.700, 6, 0.830, 426, 39, 3, 8, 51, 5.070, 5.137
Mon Jan  9 16:16:48 EST 2017, 7655, 0.450, 8, 0.080, 351, 61, 8, 45, 73, 66.080, 65.110
Mon Jan  9 16:16:57 EST 2017, 2705, 0.950, 4, 0.580, 501, 16, 17, 20, 28, 9.343, 8.553
Mon Jan  9 16:17:07 EST 2017, 3943, 0.330, 7, 0.460, 313, 28, 10, 1, 84, 8.890, 7.110
Mon Jan  9 16:17:12 EST 2017, 8893, 0.830, 3, 0.960, 463, 73, 1, 26, 39, 4.387, 4.643
Mon Jan  9 16:17:32 EST 2017, 6418, 0.080, 5, 0.210, 538, 50, 5, 14, 62, 19.867, 19.717
Mon Jan  9 16:18:16 EST 2017, 1468, 0.580, 9, 0.710, 388, 95, 15, 39, 17, 43.323, 41.063
Mon Jan  9 16:20:01 EST 2017, 2086, 0.390, 3, 0.900, 444, 90, 14, 17, 79, 100.013, 87.373
Mon Jan  9 16:20:20 EST 2017, 7036, 0.890, 8, 0.400, 594, 45, 4, 42, 34, 18.590, 18.097
Mon Jan  9 16:20:47 EST 2017, 9511, 0.140, 5, 0.650, 519, 67, 9, 4, 56, 26.957, 21.557
Mon Jan  9 16:20:50 EST 2017, 4561, 0.640, 1, 0.150, 369, 22, 18, 29, 11, 2.433, 2.393
Mon Jan  9 16:21:19 EST 2017, 3324, 0.020, 9, 0.770, 482, 11, 11, 48, 90, 28.293, 27.260
Mon Jan  9 16:21:25 EST 2017, 8274, 0.520, 4, 0.270, 332, 56, 2, 23, 45, 5.513, 5.873
Mon Jan  9 16:21:41 EST 2017, 5799, 0.270, 2, 0.520, 407, 33, 6, 36, 67, 16.277, 15.700
Mon Jan  9 16:22:13 EST 2017, 849, 0.770, 7, 0.020, 557, 78, 16, 11, 22, 30.727, 27.650
Mon Jan  9 16:22:24 EST 2017, 1158, 0.300, 7, 0.240, 491, 59, 4, 22, 31, 11.377, 11.360
