# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 11:19:29 EDT 2017, 8854, 0.160, 4556, 4, 0.020, 575, 71, 13, 18, 10, 13.390, 17.337
Sun Apr 30 11:19:41 EDT 2017, 3904, 0.660, 9555, 9, 0.520, 425, 26, 3, 43, 55, 10.407, 11.103
Sun Apr 30 11:19:43 EDT 2017, 2666, 0.040, 806, 1, 0.150, 387, 37, 5, 12, 21, 1.587, 2.090
Sun Apr 30 11:23:46 EDT 2017, 7616, 0.540, 5806, 5, 0.650, 537, 82, 15, 37, 66, 214.830, 236.233
Sun Apr 30 11:23:53 EDT 2017, 5141, 0.290, 8305, 3, 0.900, 312, 59, 1, 24, 89, 5.353, 6.607
Sun Apr 30 11:24:11 EDT 2017, 191, 0.790, 3306, 7, 0.400, 462, 14, 10, 49, 44, 15.240, 17.440
Sun Apr 30 11:26:20 EDT 2017, 230, 0.200, 1079, 4, 0.920, 548, 66, 13, 47, 52, 120.380, 127.917
Sun Apr 30 11:26:33 EDT 2017, 5180, 0.700, 6079, 8, 0.420, 398, 21, 4, 22, 97, 10.957, 13.607
Sun Apr 30 11:27:40 EDT 2017, 7655, 0.450, 8579, 1, 0.170, 473, 43, 18, 35, 74, 55.350, 66.090
Sun Apr 30 11:28:00 EDT 2017, 2705, 0.950, 3579, 6, 0.670, 323, 88, 8, 10, 29, 14.947, 19.240
Sun Apr 30 11:28:08 EDT 2017, 3943, 0.330, 7329, 5, 0.040, 360, 55, 1, 41, 63, 6.647, 7.697
Sun Apr 30 11:28:11 EDT 2017, 8893, 0.830, 2329, 9, 0.540, 510, 10, 11, 16, 18, 2.610, 3.293
Sun Apr 30 11:28:22 EDT 2017, 6418, 0.080, 4829, 2, 0.790, 435, 32, 6, 29, 41, 8.663, 10.270
Sun Apr 30 11:31:31 EDT 2017, 1468, 0.580, 9829, 7, 0.290, 585, 77, 15, 4, 86, 139.653, 185.727
Sun Apr 30 11:32:48 EDT 2017, 2086, 0.390, 2954, 9, 0.480, 567, 72, 7, 38, 46, 66.977, 76.580
Sun Apr 30 11:33:30 EDT 2017, 7036, 0.890, 7954, 4, 0.980, 417, 27, 17, 13, 91, 38.653, 41.813
Sun Apr 30 11:33:45 EDT 2017, 9511, 0.140, 5454, 6, 0.730, 492, 49, 2, 25, 69, 12.253, 14.740
Sun Apr 30 11:34:00 EDT 2017, 4561, 0.640, 455, 2, 0.230, 342, 94, 12, 0, 24, 8.630, 14.433
Sun Apr 30 11:36:06 EDT 2017, 3324, 0.020, 9204, 7, 0.600, 304, 60, 19, 44, 58, 114.613, 124.453
Sun Apr 30 11:36:09 EDT 2017, 8274, 0.520, 4204, 3, 0.100, 454, 15, 10, 19, 13, 2.240, 2.740
Sun Apr 30 11:36:44 EDT 2017, 5799, 0.270, 1704, 5, 0.350, 379, 38, 14, 32, 35, 27.953, 33.467
Sun Apr 30 11:37:10 EDT 2017, 849, 0.770, 6704, 1, 0.850, 529, 83, 5, 7, 80, 17.917, 24.870
Sun Apr 30 11:37:14 EDT 2017, 1158, 0.300, 7641, 3, 0.630, 463, 24, 9, 11, 15, 2.467, 3.227
Sun Apr 30 11:39:36 EDT 2017, 6108, 0.800, 2642, 7, 0.130, 313, 69, 18, 36, 60, 116.400, 140.377
Sun Apr 30 11:40:46 EDT 2017, 8583, 0.050, 142, 5, 0.380, 538, 91, 4, 24, 83, 58.430, 68.770
Sun Apr 30 11:41:44 EDT 2017, 3633, 0.550, 5142, 9, 0.880, 388, 46, 14, 49, 38, 54.290, 57.973
Sun Apr 30 11:42:00 EDT 2017, 4871, 0.170, 3892, 2, 0.260, 426, 13, 16, 5, 94, 10.147, 15.590
Sun Apr 30 11:42:53 EDT 2017, 9821, 0.670, 8891, 6, 0.760, 576, 58, 7, 30, 49, 44.843, 52.807
Sun Apr 30 11:43:21 EDT 2017, 7346, 0.420, 6391, 4, 0.510, 351, 80, 11, 18, 27, 22.283, 28.003
Sun Apr 30 11:43:38 EDT 2017, 2396, 0.920, 1392, 8, 0.010, 501, 35, 2, 43, 72, 13.823, 16.283
Sun Apr 30 11:43:41 EDT 2017, 1777, 0.110, 5767, 6, 0.200, 520, 29, 10, 2, 10, 1.680, 2.890
Sun Apr 30 11:43:44 EDT 2017, 6727, 0.610, 767, 1, 0.700, 370, 74, 1, 27, 55, 2.903, 3.307
Sun Apr 30 11:47:20 EDT 2017, 9202, 0.360, 3267, 8, 0.950, 595, 97, 15, 15, 77, 202.210, 211.273
Sun Apr 30 11:47:38 EDT 2017, 4252, 0.860, 8266, 3, 0.450, 445, 52, 5, 40, 32, 14.747, 17.243
Sun Apr 30 11:47:43 EDT 2017, 3014, 0.480, 2017, 7, 0.820, 407, 18, 3, 8, 89, 4.057, 5.407
Sun Apr 30 11:48:52 EDT 2017, 7964, 0.980, 7016, 2, 0.320, 557, 63, 12, 33, 44, 55.400, 67.317
Sun Apr 30 11:49:12 EDT 2017, 5489, 0.230, 9516, 9, 0.070, 332, 86, 8, 21, 21, 15.800, 20.290
Sun Apr 30 11:51:21 EDT 2017, 539, 0.730, 4517, 4, 0.570, 482, 41, 17, 46, 66, 111.883, 125.880
Sun Apr 30 11:51:30 EDT 2017, 694, 0.440, 5298, 7, 0.370, 440, 90, 1, 18, 51, 7.933, 9.023
Sun Apr 30 11:53:51 EDT 2017, 5644, 0.940, 298, 3, 0.870, 590, 45, 10, 43, 96, 109.227, 126.340
Sun Apr 30 11:54:00 EDT 2017, 8119, 0.190, 2798, 5, 0.620, 365, 22, 6, 6, 73, 5.953, 8.497
Sun Apr 30 11:54:32 EDT 2017, 3169, 0.690, 7798, 1, 0.120, 515, 67, 15, 31, 28, 25.880, 31.497
Sun Apr 30 11:56:09 EDT 2017, 4407, 0.060, 1548, 8, 0.740, 477, 79, 13, 12, 62, 83.483, 96.243
Sun Apr 30 11:56:12 EDT 2017, 9357, 0.560, 6548, 4, 0.240, 327, 34, 3, 37, 17, 2.517, 2.897
Sun Apr 30 11:56:20 EDT 2017, 6882, 0.310, 9047, 6, 0.490, 552, 11, 18, 0, 39, 3.927, 7.177
