# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 19:43:19 EDT 2017, 0.950, 2, 5, 0.650, 7, 6, 49, 329, 56, 13, 28, 86, 28.773, 27.883
Mon Jun 26 19:43:23 EDT 2017, 0.450, 6, 1, 0.150, 3, 2, 94, 479, 11, 4, 3, 41, 3.243, 2.783
Mon Jun 26 19:44:05 EDT 2017, 0.320, 1, 9, 0.770, 6, 1, 60, 592, 90, 11, 34, 75, 41.137, 40.757
Mon Jun 26 19:44:07 EDT 2017, 0.820, 5, 4, 0.270, 1, 5, 15, 442, 45, 1, 9, 30, 1.720, 1.313
Mon Jun 26 19:44:38 EDT 2017, 0.570, 3, 2, 0.520, 4, 3, 38, 517, 67, 6, 47, 53, 31.047, 27.587
Mon Jun 26 19:44:51 EDT 2017, 0.070, 7, 7, 0.020, 8, 7, 83, 367, 22, 15, 22, 98, 12.770, 12.200
Mon Jun 26 19:44:52 EDT 2017, 0.100, 3, 7, 0.240, 6, 5, 24, 432, 31, 2, 1, 16, 0.700, 0.677
Mon Jun 26 19:45:52 EDT 2017, 0.600, 8, 3, 0.740, 2, 1, 69, 582, 76, 11, 26, 61, 58.530, 59.100
Mon Jun 26 19:47:55 EDT 2017, 0.850, 1, 1, 0.490, 4, 8, 91, 357, 53, 16, 14, 83, 116.943, 118.973
Mon Jun 26 19:48:15 EDT 2017, 0.350, 5, 5, 0.990, 9, 3, 46, 507, 98, 7, 39, 38, 19.997, 19.607
Mon Jun 26 19:48:37 EDT 2017, 0.480, 2, 4, 0.110, 3, 4, 13, 545, 20, 18, 20, 72, 21.087, 19.593
Mon Jun 26 19:48:43 EDT 2017, 0.980, 7, 9, 0.610, 7, 9, 58, 395, 65, 9, 45, 27, 6.077, 5.693
Mon Jun 26 19:48:49 EDT 2017, 0.730, 4, 6, 0.360, 5, 2, 80, 470, 42, 4, 8, 50, 5.610, 5.473
Mon Jun 26 19:51:16 EDT 2017, 0.230, 9, 2, 0.860, 1, 7, 35, 320, 87, 14, 33, 95, 141.780, 122.887
Mon Jun 26 19:51:17 EDT 2017, 0.160, 2, 6, 0.550, 2, 7, 29, 451, 14, 1, 36, 78, 1.113, 1.060
