# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 10:52:09 EST 2017, 8576, 0.230, 3, 0.740, 502, 91, 12, 1, 45, 29.447, 29.940
Mon Jan  9 10:52:21 EST 2017, 3626, 0.730, 8, 0.240, 352, 46, 2, 26, 90, 11.657, 11.567
Mon Jan  9 10:52:27 EST 2017, 4863, 0.110, 2, 0.860, 464, 35, 9, 45, 12, 5.960, 6.050
Mon Jan  9 10:53:54 EST 2017, 9813, 0.610, 6, 0.360, 314, 80, 19, 20, 57, 84.203, 86.030
Mon Jan  9 10:54:03 EST 2017, 7338, 0.360, 9, 0.610, 389, 12, 14, 33, 34, 8.760, 8.940
Mon Jan  9 10:54:28 EST 2017, 2388, 0.860, 4, 0.110, 539, 57, 5, 8, 79, 22.803, 22.897
Mon Jan  9 10:54:45 EST 2017, 1770, 0.170, 8, 0.300, 595, 63, 6, 36, 17, 16.610, 16.560
Mon Jan  9 10:54:58 EST 2017, 6720, 0.670, 4, 0.800, 445, 18, 15, 11, 62, 12.613, 12.790
Mon Jan  9 10:55:30 EST 2017, 9195, 0.420, 1, 0.050, 370, 85, 11, 48, 40, 32.007, 31.837
Mon Jan  9 10:55:37 EST 2017, 4245, 0.920, 6, 0.550, 520, 40, 1, 23, 85, 6.610, 6.560
Mon Jan  9 10:55:43 EST 2017, 3007, 0.300, 5, 0.430, 333, 51, 8, 4, 28, 5.377, 5.447
Mon Jan  9 10:59:52 EST 2017, 7957, 0.800, 9, 0.930, 483, 96, 18, 29, 73, 243.960, 242.170
Mon Jan  9 11:00:21 EST 2017, 5482, 0.050, 7, 0.180, 558, 29, 13, 17, 51, 28.790, 28.167
