# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sat Jul  8 02:41:21 EDT 2017, 0.160, 124, 25, 6, 12, 520, 5, 30, 1, 10, 1.263, 1.250
Sat Jul  8 02:46:23 EDT 2017, 0.660, 144, 20, 2, 23, 370, 14, 10, 16, 30, 1.227, 1.200
Sat Jul  8 02:51:35 EDT 2017, 0.910, 134, 23, 8, 28, 595, 19, 40, 9, 40, 5.067, 5.510
Sat Jul  8 02:56:37 EDT 2017, 0.410, 154, 28, 4, 17, 445, 9, 20, 24, 20, 1.260, 1.217
Sat Jul  8 03:01:08 EDT 2017, 0.290, 139, 22, 7, 26, 407, 2, 15, 5, 45, 1.233, 1.243
Sat Jul  8 03:06:15 EDT 2017, 0.790, 159, 27, 3, 15, 557, 12, 35, 20, 25, 1.840, 1.837
Sat Jul  8 03:11:21 EDT 2017, 0.540, 129, 29, 9, 9, 332, 17, 25, 12, 15, 1.243, 1.233
Sat Jul  8 03:20:29 EDT 2017, 0.040, 149, 24, 5, 20, 482, 7, 45, 27, 35, 1.523, 1.530
Sat Jul  8 03:25:31 EDT 2017, 0.060, 137, 25, 8, 16, 440, 17, 10, 11, 28, 1.243, 1.253
Sat Jul  8 03:30:07 EDT 2017, 0.560, 157, 20, 4, 27, 590, 8, 30, 26, 48, 1.847, 1.920
Sat Jul  8 03:35:14 EDT 2017, 0.810, 127, 22, 6, 21, 365, 3, 20, 3, 38, 1.260, 1.240
Sat Jul  8 03:40:16 EDT 2017, 0.310, 147, 27, 2, 10, 515, 13, 40, 18, 18, 1.550, 1.563
Sat Jul  8 03:45:23 EDT 2017, 0.430, 122, 21, 9, 24, 477, 15, 35, 7, 33, 1.907, 2.160
Sat Jul  8 03:56:01 EDT 2017, 0.930, 142, 26, 5, 13, 327, 6, 15, 22, 13, 300.000, 300.000
Sat Jul  8 04:03:54 EDT 2017, 0.680, 132, 29, 7, 18, 552, 1, 45, 0, 23, 1.250, 1.280
Sat Jul  8 04:08:55 EDT 2017, 0.180, 152, 24, 3, 29, 402, 10, 25, 15, 43, 1.590, 1.747
Sat Jul  8 04:13:52 EDT 2017, 0.240, 125, 28, 5, 25, 384, 19, 48, 9, 25, 1.850, 2.073
Sat Jul  8 04:19:08 EDT 2017, 0.740, 145, 23, 9, 14, 534, 9, 28, 24, 45, 1.843, 1.840
Sat Jul  8 04:29:42 EDT 2017, 0.990, 135, 20, 3, 9, 309, 4, 38, 1, 35, 300.000, 300.000
Sat Jul  8 04:34:18 EDT 2017, 0.490, 155, 25, 7, 20, 459, 14, 18, 16, 15, 1.247, 1.237
Sat Jul  8 04:39:15 EDT 2017, 0.370, 130, 24, 4, 12, 496, 16, 23, 13, 30, 1.530, 1.753
Sat Jul  8 04:44:27 EDT 2017, 0.870, 150, 29, 8, 23, 346, 7, 43, 28, 10, 1.250, 1.237
Sat Jul  8 04:49:34 EDT 2017, 0.620, 120, 27, 2, 28, 571, 2, 13, 5, 20, 1.247, 1.253
Sat Jul  8 04:54:35 EDT 2017, 0.120, 140, 22, 6, 17, 421, 12, 33, 20, 40, 1.650, 1.613
Sat Jul  8 04:59:37 EDT 2017, 0.090, 121, 23, 7, 10, 356, 9, 44, 19, 14, 1.277, 1.230
Sat Jul  8 05:04:19 EDT 2017, 0.590, 141, 28, 3, 21, 506, 18, 24, 4, 34, 2.070, 2.167
